src_port,dst_mac,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
55850,94:25:33:8c:ec:cd,53,17,6,8,2,312,0,1,100,1744237948489,1744237948489,0,1,212,100,156.0,7.919.595.949.289.330,212,100,100.0,0.0,100,212,212.0,0.0,212,8,8.0,0.0,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64990,94:25:33:8c:ec:cd,53,17,6,8,2,336,0,1,100,1744237948489,1744237948489,0,1,236,100,168.0,9.616.652.224.137.040,236,100,100.0,0.0,100,236,236.0,0.0,236,8,8.0,0.0,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94:25:33:8c:ec:cd,0,58,6,4993,4,328,4993,2,164,1744237963546,1744237968539,4993,2,164,78,82.0,4.618.802.153.517.000,86,78,82.0,5.656.854.249.492.380,86,78,82.0,5.656.854.249.492.380,86,0,16.643.333.333.333.300,28.827.098.940.638.000,4993,4993,4993.0,0.0,4993,4993,4993.0,0.0,4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,779,4,698,779,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.596.666.666.666.660,577.350.269.189.634,260,259,2.596.666.666.666.660,577.350.269.189.634,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50212,94:25:33:8c:ec:cd,443,6,6,138,2,161,0,1,75,1744238056891,1744238056891,0,1,86,75,80.5,77.781.745.930.520.200,86,75,75.0,0.0,75,86,86.0,0.0,86,138,138.0,0.0,138,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
443,f4:b5:20:53:08:91,54041,6,6,5000,6,507,5000,3,285,1744237932426,1744237937426,5000,3,222,74,84.5,16.944.025.495.731.500,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,1000.0,223.606.797.749.979,5000,0,2500.0,35.355.339.059.327.300,5000,0,2500.0,35.355.339.059.327.300,5000,0,0,0,0,6,2,0,1,0,3,2,0,1,0,3,0,0,0
443,f4:b5:20:53:08:91,54042,6,6,5004,7,581,5004,3,285,1744237932389,1744237937393,5004,4,296,74,83.0,15.968.719.422.671.300,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,834.0,20.423.845.867.025.100,5003,1,2502.0,3.536.948.119.495.110,5003,0,1668.0,2.888.194.764.900.730,5003,0,0,0,0,7,2,0,1,0,3,2,0,1,0,4,0,0,0
443,f4:b5:20:53:08:91,54043,6,6,5003,7,581,5003,3,285,1744237877461,1744237882464,5003,4,296,74,83.0,15.968.719.422.671.300,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,8.338.333.333.333.330,20.424.661.971.907.000,5003,0,2501.5,3.537.655.226.276.290,5003,0,16.676.666.666.666.600,2.888.483.396.755.690,5003,0,0,0,0,7,2,0,1,0,3,2,0,1,0,4,0,0,0
443,f4:b5:20:53:08:91,54040,6,6,4993,7,581,4993,3,285,1744237932381,1744237937374,4993,4,296,74,83.0,15.968.719.422.671.300,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,8.321.666.666.666.660,2.038.383.714.286.060,4993,0,2496.5,35.305.841.584.644.300,4993,0,16.643.333.333.333.300,28.827.098.940.638.000,4993,0,0,0,0,7,2,0,1,0,3,2,0,1,0,4,0,0,0
443,f4:b5:20:53:08:91,54039,6,6,5003,7,581,5003,3,285,1744237877449,1744237882452,5003,4,296,74,83.0,15.968.719.422.671.300,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,8.338.333.333.333.330,20.424.661.971.907.000,5003,0,2501.5,3.537.655.226.276.290,5003,0,16.676.666.666.666.600,2.888.483.396.755.690,5003,0,0,0,0,7,2,0,1,0,3,2,0,1,0,4,0,0,0
443,f4:b5:20:53:08:91,54038,6,6,5008,7,581,5008,3,285,1744237877448,1744237882456,5008,4,296,74,83.0,15.968.719.422.671.300,113,74,95.0,19.672.315.572.906,113,74,74.0,0.0,74,0,8.346.666.666.666.660,2.044.507.438.643.020,5008,0,2504.0,354.119.076.018.223,5008,0,16.693.333.333.333.300,2.891.370.148.101.640,5008,0,0,0,0,7,2,0,1,0,3,2,0,1,0,4,0,0,0
0,33:33:00:00:00:01,0,58,6,0,1,142,0,1,142,0,0,0,0,0,142,142.0,0.0,142,142,142.0,0.0,142,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33:33:00:00:00:16,0,58,6,883,2,220,883,2,220,0,0,0,0,0,110,110.0,0.0,110,110,110.0,0.0,110,0,0.0,0.0,0,883,883.0,0.0,883,883,883.0,0.0,883,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54054,94:25:33:8c:ec:cd,443,6,4,1785,26,5403,1785,14,2980,1744237901626,1744237903156,1530,12,2423,60,20.780.769.230.769.200,16.834.393.822.903.600,827,60,21.285.714.285.714.200,2.088.532.267.638.450,827,60,20.191.666.666.666.600,11.308.199.626.283.500,435,0,71.4,10.050.704.784.574.300,216,0,1.373.076.923.076.920,11.377.637.761.224.400,278,0,1.390.909.090.909.090,10.534.083.210.745.400,216,2,0,0,0,25,18,0,0,1,13,9,0,0,1,12,9,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,775,4,698,775,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,255,2.583.333.333.333.330,2.886.751.345.948.130,260,255,2.583.333.333.333.330,2.886.751.345.948.130,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54081,94:25:33:8c:ec:cd,443,6,6,99,21,3162,46,11,1773,1744238175234,1744238175320,86,10,1389,74,15.057.142.857.142.800,14.393.664.280.806.700,719,74,1.611.818.181.818.180,18.977.556.121.999.300,719,74,138.9,7.572.384.036.748.260,286,0,4.950.000.000.000.000,12.128.587.369.473.300,53,0,4.6,5.420.127.099.780.750,13,0,9.555.555.555.555.550,1.770.671.561.238.210,53,2,0,0,0,20,11,0,0,1,10,5,0,0,1,10,6,0,0
54082,94:25:33:8c:ec:cd,443,6,6,99,21,3184,47,11,1795,1744238175234,1744238175320,86,10,1389,74,15.161.904.761.904.700,1.466.746.318.183.460,732,74,1.631.818.181.818.180,19.379.722.298.413.700,732,74,138.9,7.572.384.036.748.260,286,0,4.95,11.927.301.719.827.000,52,0,4.699.999.999.999.990,56.774.407.379.851.400,13,0,9.555.555.555.555.550,17.741.977.842.895.000,53,2,0,0,0,20,11,0,0,1,10,5,0,0,1,10,6,0,0
54080,94:25:33:8c:ec:cd,443,6,6,115,20,3110,59,10,1721,1744238175238,1744238175336,98,10,1389,74,155.5,1.493.746.614.178.060,732,74,172.1,2.018.869.045.337.560,732,74,138.9,7.572.384.036.748.260,286,0,6.052.631.578.947.360,1.350.503.479.863.270,56,0,65.555.555.555.555.500,75.516.738.394.727.900,17,0,1.088.888.888.888.880,19.451.506.654.012.900,57,2,0,0,0,19,11,0,0,1,9,5,0,0,1,10,6,0,0
5353,01:00:5e:00:00:fb,5353,17,4,49706,30,3691,49706,30,3691,0,0,0,0,0,86,12.303.333.333.333.300,11.043.877.484.156.400,507,86,12.303.333.333.333.300,11.043.877.484.156.400,507,0,0.0,0.0,0,0,1714.0,6.210.606.331.108.090,33368,0,1714.0,6.210.606.331.108.090,33368,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,33:33:00:00:00:fb,5353,17,6,49705,30,4291,49705,30,4291,0,0,0,0,0,106,14.303.333.333.333.300,11.043.877.484.156.400,527,106,14.303.333.333.333.300,11.043.877.484.156.400,527,0,0.0,0.0,0,1,17.139.655.172.413.700,621.047.124.668.582,33367,1,17.139.655.172.413.700,621.047.124.668.582,33367,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64578,94:25:33:8c:ec:cd,53,17,6,13,2,299,0,1,106,1744238057589,1744238057589,0,1,193,106,149.5,61.518.289.963.229.600,193,106,106.0,0.0,106,193,193.0,0.0,193,13,13.0,0.0,13,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60872,94:25:33:8c:ec:cd,53,17,6,7,2,314,0,1,111,1744238057675,1744238057675,0,1,203,111,157.0,6.505.382.386.916.230,203,111,111.0,0.0,111,203,203.0,0.0,203,7,7.0,0.0,7,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33:33:ff:66:10:f6,0,58,6,0,1,86,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,779,4,698,779,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.596.666.666.666.660,577.350.269.189.634,260,259,2.596.666.666.666.660,577.350.269.189.634,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
